RowNumber,Cruise,Mon,Day,Year,Line,Station,Region,Latitude,Longitude,Biomass
3,CALCOFI 5104,4,4,1951,60,60,CC,37.617,-123.617,10.5
1,CALCOFI 5104,4,2,1951,63,57,CC,37.15,-122.967,2.3
9,CALCOFI 5104,4,7,1951,70,70,CC,35.55,-123.1,255.1
11,CALCOFI 5104,4,9,1951,73,61,CC,35.267,-122.05,41.4
29,CALCOFI 5105,5,8,1951,77,65,SC,34.567,-121.917,9.8
12,CALCOFI 5104,4,9,1951,80,55,SC,34.317,-120.8,5
13,CALCOFI 5104,4,9,1951,80,60,SC,34.15,-121.15,2.8
24,CALCOFI 5104,4,14,1951,83,55,SC,33.733,-120.417,89.7
22,CALCOFI 5104,4,13,1951,83,60,SC,33.567,-120.75,66.4
35,CALCOFI 5106,5,31,1951,83,70,SC,33.317,-121.467,94.8
23,CALCOFI 5104,4,13,1951,83,80,SC,32.917,-122.133,4.9
34,CALCOFI 5106,5,30,1951,87,35,SC,33.833,-118.633,111.5
31,CALCOFI 5105,5,12,1951,87,40,SC,33.667,-118.983,5.5
25,CALCOFI 5104,4,15,1951,87,50,SC,33.333,-119.667,10.4
30,CALCOFI 5105,5,11,1951,87,60,SC,33,-120.367,1.5
32,CALCOFI 5105,5,14,1951,90,45,SC,32.917,-118.933,153
26,CALCOFI 5104,4,16,1951,90,53,SC,32.633,-119.467,36.6
33,CALCOFI 5105,5,14,1951,90,80,SC,31.75,-121.317,21.4
10,CALCOFI 5104,4,8,1951,93,30,SC,32.833,-117.533,26
27,CALCOFI 5105,5,6,1951,93,50,SC,32.167,-118.9,503.1
28,CALCOFI 5105,5,7,1951,93,60,SC,31.833,-119.567,5.2
15,CALCOFI 5104,4,10,1951,93,70,SC,31.5,-120.25,1.5
21,CALCOFI 5104,4,12,1951,97,32,NBC,32.15,-117.283,2.8
18,CALCOFI 5104,4,12,1951,100,50,NBC,31.017,-118.133,48.2
4,CALCOFI 5104,4,5,1951,107,40,NBC,30.183,-116.733,0
7,CALCOFI 5104,4,6,1951,107,50,NBC,29.85,-117.4,1
5,CALCOFI 5104,4,5,1951,110,35,NBC,29.767,-116.017,39.3
8,CALCOFI 5104,4,6,1951,110,40,NBC,29.583,-116.367,15.4
6,CALCOFI 5104,4,5,1951,113,50,CBC,28.783,-116.55,25.6
2,CALCOFI 5104,4,3,1951,117,50,CBC,28.117,-116.25,10.4
14,CALCOFI 5104,4,10,1951,120,50,CBC,27.567,-115.883,10.1
16,CALCOFI 5104,4,11,1951,123,50,CBC,26.983,-115.517,0
19,CALCOFI 5104,4,12,1951,127,40,CBC,26.717,-114.467,0
17,CALCOFI 5104,4,11,1951,127,50,CBC,26.383,-115.133,0
20,CALCOFI 5104,4,12,1951,130,50,CBC,25.983,-114.717,0
50,CALCOFI 5204,4,6,1952,60,60,CC,37.617,-123.617,1115.6
46,CALCOFI 5204,4,5,1952,60,70,CC,37.317,-124.35,16.1
103,CALCOFI 5205,5,21,1952,60,80,CC,36.95,-125.067,4.4
99,CALCOFI 5205,5,8,1952,63,55,CC,37.233,-122.833,26.2
100,CALCOFI 5205,5,9,1952,63,60,CC,37.067,-123.183,159.3
101,CALCOFI 5205,5,9,1952,63,65,CC,36.883,-123.533,52.2
55,CALCOFI 5204,4,7,1952,67,50,CC,36.817,-122.083,8.3
62,CALCOFI 5204,4,8,1952,67,55,CC,36.667,-122.433,27.4
